ips1;ips2;ips3;ips4;ips5;ips6;ips7;ips8;ipk
3;0;0;39;387;4;0;0;185
214;65;0;0;0;0;0;0;35
324;325;326;35;333;348;358;325;336
0;0;0;0;0;0;0;0;0
333;32;317;314;348;352;358;325;333
0;0;0;0;0;0;0;0;0
314;245;283;3;348;29;383;325;311
338;0;0;0;0;0;0;0;42
338;325;304;323;371;362;375;4;35
348;325;326;336;362;343;367;325;342
314;247;304;3;348;362;35;275;313
333;315;33;355;314;31;358;325;33
371;36;357;35;386;338;4;325;361
238;0;0;0;0;0;0;0;3
362;345;326;377;367;39;383;275;353
386;39;365;373;352;362;367;325;365
362;315;278;282;305;229;3;3;296
343;35;0;0;0;0;0;0;87
324;3;326;314;314;329;383;325;327
343;35;33;359;39;362;383;325;355
343;245;252;232;38;0;0;0;139
348;335;326;323;362;343;375;35;345
348;34;322;341;324;305;333;325;33
386;4;387;386;4;4;4;4;395
352;37;352;314;352;348;383;275;343
343;32;304;309;348;305;375;325;329
357;32;326;359;4;39;383;4;367
371;385;374;373;4;386;0;0;286
343;3;343;309;367;329;4;375;346
357;325;348;314;352;352;367;375;349
352;34;317;341;338;314;4;325;341
367;335;326;345;376;324;383;25;338
343;35;3;35;39;348;4;325;351
0;0;0;0;0;0;0;0;0
33;0;0;0;0;0;0;0;4
343;36;313;336;348;329;383;325;342
343;365;309;359;39;362;4;35;36
362;355;335;386;39;376;383;375;37
348;325;326;373;362;367;4;4;363
343;29;313;323;352;267;325;0;277
367;27;326;305;338;238;258;0;263
352;36;335;336;367;362;383;35;356
352;3;296;332;362;319;358;4;34
362;355;365;35;4;362;4;35;368
386;35;378;386;39;386;4;4;385
386;4;4;4;4;4;4;4;398
376;37;365;359;39;39;4;4;381
343;35;335;359;338;305;367;325;34
343;335;335;327;362;333;367;325;341
367;355;335;327;324;314;383;325;341
371;37;365;373;386;39;383;375;377
352;37;378;373;4;39;4;325;374
39;37;374;373;39;376;383;35;376
324;45;0;0;0;0;0;0;46
376;365;37;336;386;352;383;3;359
262;0;0;0;0;0;0;0;33
305;275;0;0;2;0;0;0;98
367;355;343;309;376;352;358;275;342
362;305;357;323;348;338;367;275;334
343;32;313;323;348;348;4;325;34
333;3;291;291;348;243;25;0;257
367;315;287;264;286;0;0;0;19
367;325;326;377;381;376;325;0;31
338;305;33;336;357;324;175;0;271
362;3;335;345;362;338;325;0;296
329;0;0;0;0;0;0;0;41
14;0;0;0;0;0;0;0;2
39;385;357;364;39;39;4;0;335
0;0;0;0;0;0;0;0;0
352;365;33;35;362;348;375;0;31
362;36;335;341;362;338;375;0;309
143;18;0;0;0;0;0;0;4
0;0;0;0;0;0;0;0;0
324;34;33;336;367;39;3;0;298
324;315;343;35;362;348;35;0;299
0;0;0;0;0;0;0;0;0
329;4;0;325;165;5;0;0;114
324;28;27;3;57;0;0;0;154
0;0;0;0;0;0;0;0;0
0;0;323;35;0;0;0;0;84
362;375;374;345;338;343;383;325;356
324;355;304;336;31;286;292;25;307
343;36;383;373;39;39;358;325;365
352;365;33;377;343;314;325;3;338
33;0;0;0;0;0;0;0;4
329;37;357;359;319;31;342;325;339
348;375;348;173;0;0;0;0;156
0;0;0;0;0;0;0;0;0
314;37;335;35;314;31;342;325;333
319;32;322;323;0;0;0;0;161
352;37;0;0;0;0;0;0;9
333;375;37;386;381;329;358;275;351
324;36;37;373;343;286;358;325;342
362;4;374;373;376;4;383;325;374
343;34;304;35;314;0;0;243;237
267;25;0;0;0;0;0;0;37
333;345;348;286;243;329;317;1;288
329;345;361;359;367;352;383;375;359
276;29;317;35;295;267;342;15;286
267;305;3;309;257;0;0;214;207
31;345;383;386;362;376;358;3;353
343;365;357;373;376;324;358;325;353
381;39;357;4;348;343;358;325;363
333;375;383;373;367;352;383;325;361
343;375;391;386;357;329;383;3;358
305;6;0;0;0;0;0;0;46
305;0;0;0;0;0;0;0;38
329;375;37;35;338;262;358;25;329
248;285;61;0;0;0;0;0;74
343;12;0;0;0;0;0;0;58
352;35;335;35;329;343;358;25;333
352;375;391;35;381;362;0;0;276
0;0;0;0;0;0;0;0;0
376;4;378;4;39;352;358;35;376
343;32;335;359;329;333;358;175;319
11;0;0;0;0;0;0;0;14
314;35;348;373;324;333;367;35;345
386;4;4;4;4;4;4;35;392
352;35;365;373;348;333;4;275;35
